name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kenya,1645.843442,1676.685621,1580.033251,1512.938954,1442.916599,1337.428106,1278.258099,1210.894456,1162.628542,1133.765133,1140.192506,1200.638066,1250.260444,1241.323581,1231.693991,1274.36484,1297.574328
Korea. Dem. Rep.,,,,,,,,,,,,,,,,,
Korea. Rep.,16325.36419,17167.08211,17892.95504,17100.89194,18518.73923,19598.82049,20259.5142,21810.15248,22481.53838,23401.06006,24047.57982,24849.94626,25964.83668,25550.67147,25655.59535,27230.08058,27522.29619
Korea. United,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,
Kuwait,26624.9919,29493.82378,27651.64769,23225.95215,24795.95057,29189.49462,26154.72946,27506.45694,32555.91712,39385.65676,50389.24367,59699.73572,62946.73716,68183.43632,48697.23253,53657.21666,63198.99486
Kyrgyzstan,2668.965099,2517.997762,2380.288349,2016.789521,2031.44153,2077.071778,2075.198641,1958.342504,2071.223916,2120.239086,1998.223982,2021.280623,2173.697934,2242.6,2208.524111,2103.788527,2216.598831
Laos,1330.542151,1404.244946,1452.099768,1473.071457,1613.774712,1558.296806,1647.110578,1695.163227,1700.263411,1776.499524,1804.496686,1859.995203,2105.85631,2135.309499,2371.516001,2450.22507,2623.865427
Latvia,6938.009078,7061.043001,7646.427911,8351.260595,8921.55653,9349.801853,9947.543593,10735.67664,10892.48456,11519.92652,12170.31159,13398.70342,15565.36603,16068.44542,14372.71831,14893.1787,16005.82046
Lebanon,3884.453288,3957.162284,4343.498133,4894.311225,5198.34602,5471.454386,6078.378643,6820.441765,7496.984201,8729.003316,9641.370542,9546.834094,10206.43274,11000.61249,12959.52948,13179.60316,13158.62064
Lesotho,996.241976,1073.637862,901.8725773,961.5871721,995.9912061,1020.208207,1093.153104,1068.980197,1069.022139,1098.545867,1136.207564,1191.012256,1258.266387,1318.934917,1315.158308,1414.288294,1487.824213
Liberia,153.1519568,153.2671318,295.662874,356.8135314,410.9653346,515.9001143,517.3345472,527.9049386,364.858942,362.6847884,367.0070985,406.2085757,417.9797547,428.6357452,440.8461589,452.9768066,474.470618
Libya,,,,,,,,,,,,,,,,,
Lithuania,7219.29605,7783.695551,8591.406443,9285.694755,9570.75437,10285.55276,11066.51051,11880.27307,12794.82971,13371.52013,13887.32699,14989.2054,16711.45661,17583.54699,15326.83586,16367.35429,17200.30549
Luxembourg,45707.93782,46622.24192,47832.00354,51045.77089,58462.62554,62051.14421,60698.15799,62697.1506,64433.42922,66411.23582,69293.53194,75229.1702,79227.545,81682.59475,74132.9539,77717.03794,78130.59506
Macao. China,26865.82689,26159.1341,25349.38391,23382.01793,22907.67896,22923.67445,23068.2311,24800.62066,28035.1757,34841.02392,37213.77239,41606.13541,46436.01236,47142.97959,48382.89876,59621.00373,69471.51168
Macedonia. FYR,4759.261789,4801.25178,4802.262348,4949.08422,5321.970828,5613.43919,5487.576223,5666.659095,5784.099775,6204.437917,6713.22782,7091.899717,7701.159528,7792.851935,7718.378145,7904.971788,8239.940476
Madagascar,807.4444954,822.1068074,812.271596,821.8248587,823.0197555,832.2297661,853.4785819,741.8222712,780.7553779,766.8748357,756.5037317,768.0487448,757.6176332,780.5266267,730.6128652,768.1748576,759.410783
Malawi,767.2143503,700.4828541,731.5809143,655.21244,610.9226593,588.360426,531.5095851,536.6446515,535.7316276,545.719388,546.784658,616.6093533,722.6662417,718.4066427,763.2890353,795.1794649,802.2604117
Malaysia,8886.768754,9597.616242,9962.632163,9005.741804,9236.880227,9865.9316,9294.938229,9559.915726,9970.05848,10569.13075,11134.38593,11670.35966,12227.7809,13178.82066,12344.85688,13008.11913,13468.8059
Maldives,4355.849049,4829.49446,5246.025904,5675.786787,5752.872061,6192.628168,6304.052271,6660.718472,8001.691632,7142.159522,7013.396741,8522.156432,9800.68102,10320.04513,8776.79591,9952.478348,10343.66091
Mali,815.4917284,845.0109032,858.30182,882.3206368,859.2460941,780.1397853,862.9035024,853.3173946,827.8238938,826.1056347,815.425532,875.5368756,882.381949,910.52434,922.9032217,941.4096254,941.0626779
Malta,13969.09961,14149.86825,15976.08821,17692.55733,19030.93892,20636.44983,20016.45434,20744.17935,20208.95861,19794.24576,19918.89016,20328.36602,21498.62553,22435.37134,22577.68895,23370.35994,23993.07877
Mauritania,1362.455009,1466.909288,1368.387339,1367.415995,1416.100265,1379.852102,1368.068783,1390.15031,1477.004346,1515.148219,1607.585524,2125.65091,2075.993239,2014.971018,2077.028158,2392.683451,2615.746401
Mauritius,10878.3723,11967.04577,11257.28585,11290.98112,10598.34927,10486.40004,9855.935365,9759.35819,9382.538472,9301.747445,8365.87547,8722.520956,9365.890061,9364.724807,9485.309058,9422.853345,9645.05633
Mexico,8875.457639,9158.899841,9663.475117,9945.004782,10316.48241,10943.51309,10882.30384,10882.38386,11019.82137,11457.54738,11990.7701,12573.25885,12907.20249,12961.84319,11951.83977,12404.70444,12709.81934
