name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brazil,1.596088561,1.732704312,1.800931853,1.843227636,1.861992226,1.880196477,1.907555762,1.853076585,1.770560438,1.837108443,1.867213313,1.849542336,1.913505574,2.023772836,1.899717681,2.147173672,2.157933215
British Virgin Islands,2.783803326,3.113280974,3.044455977,2.97770108,2.916273136,2.861928224,2.814558946,3.11968236,3.590413131,3.882571398,4.001819009,4.448838359,4.39784994,4.51044138,4.781153562,,
Brunei,19.04143676,18.82758837,19.07177814,19.16621826,14.38430303,19.95702818,18.53358377,15.57543022,15.35964859,15.0604638,14.11642887,13.02037624,25.32098232,27.60281956,23.68416799,,
Bulgaria,6.940522073,6.836043935,6.29567573,6.026111757,5.451565202,5.436690108,5.844329407,5.654701044,6.033540911,6.006152124,6.189984255,6.36437645,6.911698602,6.690139082,5.674512779,5.828782986,6.731782992
Burkina Faso,0.058641218,0.06437916,0.071376274,0.074146362,0.077924752,0.084702482,0.078850092,0.077190403,0.080474192,0.080035373,0.079280882,0.093032044,0.109310102,0.109655497,0.104372081,,
Burundi,0.054818518,0.05374367,0.051012487,0.048311391,0.046681908,0.04716823,0.033283828,0.033052532,0.024127167,0.028126862,0.021237208,0.025018854,0.022834069,0.024464801,0.023334977,,
Cambodia,0.128686843,0.142073495,0.162529731,0.186298695,0.179667781,0.181168895,0.208924663,0.222650881,0.240143243,0.265121293,0.278618458,0.301398463,0.324558382,0.358373309,0.329997044,,
Cameroon,0.313000563,0.322076971,0.219770837,0.214228799,0.200991239,0.218901717,0.213282799,0.208271309,0.22611674,0.230484812,0.210555232,0.213278123,0.313914247,0.295541639,0.348022091,,
Canada,15.68996052,15.81493777,16.18712728,17.17383324,16.96193179,17.42683142,16.97414433,16.59485318,17.49953067,17.28981435,17.43992599,16.86231777,17.0041237,16.35039863,15.26009889,15.39945891,15.58069705
Cape Verde,0.287803058,0.344742837,0.346336702,0.365619428,0.401449255,0.427684693,0.469561623,0.542621961,0.549962937,0.565572085,0.620308477,0.643991745,0.645241876,0.631962099,0.641415508,,
Cayman Islands,11.18158901,11.39918661,11.50985549,11.5882011,11.01417476,11.31152299,10.6977875,10.40258291,10.0456621,9.700369318,9.75102676,9.830205541,9.7904741,9.814027791,9.205626191,,
Central African Republic,0.070518966,0.068888901,0.070512274,0.070045245,0.072681481,0.072310936,0.06521429,0.064155497,0.060324458,0.05380859,0.052930069,0.055616255,0.056397513,0.05537254,0.054344537,,
Chad,0.014670632,0.014729483,0.015260169,0.014781416,0.015225906,0.021405133,0.020231799,0.019098954,0.04165805,0.039860154,0.040841066,0.04036062,0.044543692,0.046462461,0.037883328,,
Channel Islands,,,,,,,,,,,,,,,,,
Chile,2.946175381,3.315865808,3.784761198,3.837292708,3.996811795,3.80605394,3.380649654,3.507076675,3.450754864,3.721850285,3.760072195,3.808340726,4.048416102,4.207949073,3.935305201,4.009048269,4.345337919
China,2.734777555,2.824139241,2.802597286,2.661320024,2.634231569,2.682866158,2.728882884,2.872547831,3.498358878,4.065723468,4.427592167,4.879028386,5.139069376,5.29789957,5.758007485,6.178707252,6.761066524
Christmas Island,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,
Colombia,1.635113222,1.630667188,1.718065049,1.716238632,1.445093764,1.456554292,1.392010184,1.354889456,1.375837526,1.299164209,1.415873837,1.44026659,1.430214323,1.47609182,1.560102759,1.654063321,1.6686682
Comoros,0.163132357,0.130161598,0.126886231,0.137391632,0.147238487,0.149934189,0.152362748,0.154536923,0.16248927,0.164036753,0.171080013,0.183178187,0.178307756,0.178853064,0.174170432,,
"Dem__Rep__Congo",0.067313602,0.071722351,0.063102048,0.053482682,0.046410744,0.033174681,0.030705714,0.029408032,0.031381178,0.034723415,0.039080104,0.040335036,0.04235491,0.04472196,0.041975379,,
"Congo, Rep.",0.572936374,0.610650514,0.810490788,0.261435359,0.26881043,0.334420466,0.268153805,0.215166687,0.322519519,0.342642829,0.456623977,0.402179633,0.431475229,0.435832183,0.493049857,,
Cook Is,1.201726116,1.205743725,1.215805471,1.227747084,1.64719976,1.645167321,1.832620648,1.601951468,1.765366715,2.883355177,3.21272721,3.357240958,3.323095514,3.480027308,3.456373619,,
Costa Rica,1.402646781,1.334890784,1.366860522,1.421348965,1.441209509,1.396805794,1.439023492,1.549031311,1.592540657,1.636129904,1.644694223,1.753913518,1.925313584,1.911933419,1.811452931,,
Cote d'Ivoire,0.485901035,0.555227448,0.527558288,0.435283101,0.385789334,0.409528933,0.457333148,0.424062366,0.31277628,0.432179251,0.434198441,0.389556269,0.342347342,0.369428069,0.340895321,,
Croatia,3.771898957,3.976344367,4.171323932,4.454974773,4.513027265,4.359602589,4.621766236,4.898179501,5.282068991,5.179208014,5.201202046,5.226528118,5.512432798,5.289562306,4.882112287,,
Cuba,2.353559228,2.462035451,2.238235466,2.21566943,2.283471363,2.344764597,2.284555613,2.334435811,2.273667683,2.225462106,2.313853449,2.432374468,2.371734465,2.644174835,2.806982527,,
Cyprus,6.682456107,6.797766726,6.857829699,7.312667275,7.297645391,7.261080144,7.119911415,7.165887315,7.76215084,7.219226243,7.265423287,7.429369477,7.709117454,7.94273481,7.518449945,,
Czech Republic,12.11712213,12.39765292,12.54880867,11.95027091,10.96176034,12.1681804,12.16496877,11.77161793,11.99762168,12.02721974,11.81188493,11.96774619,12.0165834,11.26885945,10.35578649,10.6728127,10.87648436
Czechoslovakia,,,,,,,,,,,,,,,,,
Denmark,10.53541597,13.05294381,10.809832,10.57868801,9.571741038,8.850265221,9.154250035,9.172628705,10.35004201,9.368526571,8.689944332,10.03060277,9.117842631,8.521498021,8.270595854,8.31186112,7.499751495
Djibouti,0.684716146,0.677079939,0.660903786,0.596084807,0.623501266,0.551054518,0.513604517,0.52224689,0.522035811,0.577436551,0.585130269,0.592056967,0.580933854,0.612799524,0.609646558,,
Dominica,1.130355174,1.030194051,1.138619917,1.093454891,1.152331567,1.473571402,1.636739768,1.481460104,1.642581889,1.592195348,1.649135534,1.601164483,2.196763791,1.88285235,1.88942218,,
Dominican Republic,2.03428138,2.178212954,2.226693462,2.244130305,2.230822986,2.341179072,2.318596506,2.4261651,2.433058919,2.057437606,2.117059018,2.234733962,2.255710983,2.182939836,2.07532651,,
East Germany,,,,,,,,,,,,,,,,,
Ecuador,2.003629611,2.062170298,1.552119833,1.85853702,1.750905841,1.696257134,1.867797915,1.933646448,2.041963069,2.169375743,2.182019179,2.187681241,2.230754925,2.110517801,2.110544289,2.350158835,2.36918194
Egypt,1.542197726,1.61629481,1.685249651,1.871589273,1.886654681,2.088937707,1.820930714,1.812364331,2.221946133,2.204228216,2.35333469,2.481030897,2.589012175,2.685046111,2.711079954,2.794792612,2.748491589
El Salvador,0.920919364,0.845218335,0.986509971,0.988698667,0.963950159,0.966617034,0.996866647,1.008477793,1.090506491,1.055822349,1.066576228,1.126953876,1.135302933,1.063577322,1.02254883,,
Equatorial Guinea,0.298286884,0.256566686,0.620829682,0.345600796,0.938490201,0.873720486,5.760788293,8.981011695,10.51924916,8.846591635,7.75277984,7.593759438,7.447945137,7.26881636,7.068312008,,
Eritrea,0.092451276,0.106751954,0.158313387,0.172195996,0.175052768,0.165958842,0.165421937,0.152240591,0.175129659,0.178309134,0.170821858,0.120753268,0.120730638,0.083745644,0.100693122,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,
Estonia,11.62829438,13.24644339,13.26408151,12.32846236,11.21286914,11.34975599,11.72786195,11.40289322,12.98292719,13.22877864,12.97364183,12.60653841,14.85645577,13.69524157,11.88853252,,
Ethiopia,0.037732301,0.063446014,0.070688003,0.080853511,0.079454541,0.088901905,0.064013291,0.064898946,0.069879245,0.071638064,0.073912128,0.079226175,0.083270676,0.089490083,0.097145196,,
Faeroe Islands,14.58807657,15.03286039,15.00327649,14.96160031,14.88795207,14.34827915,14.23702489,14.2155192,14.21188631,14.08048976,14.13237183,14.22038852,14.34296851,14.56194141,14.55355613,,
Falkland Is (Malvinas),16.53683203,17.31601732,18.04188746,13.39666301,13.01159215,12.72706236,15.05817933,14.95581237,16.15819209,17.38345186,17.35406806,19.77305921,19.69340942,19.6012919,19.51652251,,
Fiji,1.120349229,1.140119594,0.929188756,0.879247145,0.995133389,1.066051675,1.368058454,1.019596506,1.040775818,1.387698561,1.667167141,1.647251481,1.444248765,1.282125745,0.993754715,,
Finland,10.34143453,11.95613992,11.67224497,11.06259002,10.73577173,10.07782806,10.88081802,11.75070541,13.21960352,12.81352369,10.41128388,12.55148816,12.08030121,10.54824622,10.02755881,11.42709901,10.171726
France,6.798462428,7.029040313,6.511920453,6.992889001,6.319416725,6.190346876,6.495829652,6.364131908,6.43215383,6.430571156,6.423165725,6.227735158,6.08393324,6.070348368,5.818304186,5.873259793,5.451181469
French Guiana,6.545922236,6.313509796,6.062896647,5.479887139,4.225520633,3.467023875,3.669034474,3.126672017,3.916395634,3.574812793,3.267439961,2.761640226,3.164369971,3.150988265,3.106366054,,
French Polynesia,2.497706188,2.531354274,2.562310739,2.511952501,2.465044048,2.684755805,3.082789393,3.038095238,3.233248912,3.162150633,3.366422098,3.32404821,3.268986716,3.354237465,3.342236833,,
Gabon,3.547537524,3.160990209,3.087441021,1.385191273,1.190967429,0.851902762,1.410742065,1.377984686,1.013042031,1.314812872,1.519386157,1.414503757,1.638058016,1.55484,1.099369165,,
Gambia,0.192094298,0.186766675,0.181616442,0.191557745,0.203657962,0.212014025,0.211378924,0.229160838,0.222407483,0.220929965,0.214584949,0.218019952,0.248844225,0.251002329,0.259454428,,
Georgia,0.454240378,0.814515155,0.900924866,1.020006604,0.904240043,0.955729301,0.804496701,0.732376805,0.82562343,0.956499094,1.132676615,1.384029306,1.401584013,1.419429779,1.336342276,,
Germany,10.56609593,10.84204854,10.4935962,10.40797579,10.01194071,10.10364498,10.3864384,10.07901549,10.13021769,10.03881566,9.807556969,9.835780459,9.539493352,9.537169835,8.913646985,9.338626861,9.017172722
Ghana,0.319273888,0.330288464,0.358139296,0.350197496,0.349902759,0.328107099,0.352430043,0.36859237,0.368607603,0.344445896,0.321429253,0.418918978,0.421678557,0.366600849,0.312424771,,
Gibraltar,12.76741316,7.123917053,4.443465168,11.46339071,11.85664242,12.20077032,12.48113948,12.3143616,12.51906606,12.73457669,12.98939524,13.41906944,13.89268159,14.39774189,14.78848367,,
Greece,7.419360673,7.474726492,7.812024148,8.066623278,7.920254135,8.337942618,8.501961723,8.458277636,8.615670327,8.714337988,8.822795988,8.67047558,8.727772147,8.661884969,8.379216492,7.800952444,7.577681738
